Saprischtroumpf !;Sapristi !
Eh ? Qu'est-ce qu'ils ont schtroumpfé sur notre échelle ?;Eh ? Qu'est-ce qu'ils ont mis sur notre échelle ?
Mais ne restez donc pas plantés là ! Schtroumpfez quelque chose !...;Mais ne restez donc pas plantés là ! Faites quelque chose !...
Victoire ! Ils schtroumpfent en retraite !;Victoire ! Ils battent en retraite !
Nous n'y schtroumpferons jamais avec les échelles ! Il faut schtroumpfer un autre moyen !;Nous n'y arriverons jamais avec les échelles ! Il faut trouver un autre moyen !
Si on schtroumpfait la palissade à coup de bélier ?;Si on démolissait la palissade à coup de bélier ?
Schtroumpfons-y plutôt le feu !;Mettons-y plutôt le feu !
Moi je propose d'y schtroumpfer un grand trou avec un gros, gros vilebrequin !;Moi je propose d'y creuser un grand trou avec un gros, gros vilebrequin !
Regardez bien. Je me schtroumpfe ici, et Schtroumpf là bas, va schtroumpfer de l'échelle ! La force de gravitation le schtroumpfera vers le bas, et comme toute action appelle une réaction, je serais schtroumpfé par dessus la palissade ! Ça a l'air schtroumpfement compliqué comme ça, mais c'est tout simple, vous allez voir... Vas-y ! Schtroumpfe !;Regardez bien. Je me tiens ici, et Schtroumpf là bas, va descendre de l'échelle ! La force de gravitation le tirera vers le bas, et comme toute action appelle une réaction, je serais envoyé par dessus la palissade ! Ça a l'air très compliqué comme ça, mais c'est tout simple, vous allez voir... Vas-y ! Saute !
Ohé ! Ça y est ! J'ai schtroumpfé mon grappin à la palissade ! Venez-vite !;Ohé ! Ça y est ! J'ai attaché mon grappin à la palissade ! Venez-vite !
Allez-y ! Schtroumpfez !! Ho-hisse !;Allez-y ! Tirez !! Ho-hisse !
Et c'est alors une épouvantable scène de lutte schtroumpficide.;Et c'est alors une épouvantable scène de lutte fratricide.
(Tient une bombe) Ha ! Ha ! Ha ! J'ai schtroumpfé ce qu'il me faut ! Ça va schtroumpfer !;(Tient une bombe) Ha ! Ha ! Ha ! J'ai trouvé ce qu'il me faut ! Ça va péter !
La porte va s'ouvrir ! On va me porter en triomphe jusqu'au Schtroumpfissime enchaîné, qui se schtroumpfera à mes pieds pour implorer ma clémence...;La porte va s'ouvrir ! On va me porter en triomphe jusqu'au Schtroumpfissime enchaîné, qui se jettera à mes pieds pour implorer ma clémence...
Nitroglycéschtroumpf;Nitroglycérine
BAOUM ! Mon palais ! Les... les vandales ont fait schtroumpfer mon palais !;BAOUM ! Mon palais ! Les... les vandales ont fait sauter mon palais !
Rendez-vous ! SCHTROUMPF* ! (*historique);Rendez-vous ! MERDE* ! (*historique)
Grand Schtroumpf ! Quelle surprise ! Alors ? Vous avez schtroumpfé de l'euphorbe ?;Grand Schtroumpf ! Quelle surprise ! Alors ? Vous avez trouvé de l'euphorbe ?
On va tout vous expliquer Grand Schtroumpf ! Voilà comment ça s'est schtroumpfé. Quand vous êtes partis...;On va tout vous expliquer Grand Schtroumpf ! Voilà comment ça s'est passé. Quand vous êtes partis...
ALLONS, SCHTROUMPFS DE LA PATRI-IE, LE JOUR DE SCHTROUMPF EST ARRIVÉ !;ALLONS, ENFANTS DE LA PATRI-IE, LE JOUR DE GLOIRE EST ARRIVÉ !
Et toi ! Regarde ce qui s'est schtroumpfé à cause de toi ! Tout le village est en ruine !;Et toi ! Regarde ce qui s'est passé à cause de toi ! Tout le village est en ruine !
Je vais réparer tous les dégâts que j'ai schtroumpfés...;Je vais réparer tous les dégâts que j'ai causés...
Eh ! Attends ! On va te schtroumpfer un coup de main !;Eh ! Attends ! On va te donner un coup de main !
Et le Grand Schtroumpf dit toujours qu'il faut s'entreschtroumpfer dans la vie !;Et le Grand Schtroumpf dit toujours qu'il faut s'entraider dans la vie !
Allons schtroumpfer des pelles et des pioches !;Allons chercher des pelles et des pioches !
Bravo ! Je vois que malgré ce qui s'est schtroumpfé, vous êtes restés de bons et braves petits Schtroumpfs ! Allons, je vous pardonne !;Bravo ! Je vois que malgré ce qui s'est pass, vous êtes restés de bons et braves petits Schtroumpfs ! Allons, je vous pardonne !
Tralala ! Il faut schtroumpfer ça ! Tenez, voici un cadeau pour vous !;Tralala ! Il faut fêter ça ! Tenez, voici un cadeau pour vous !
Un baba au schtroumpf ! Mon gâteau préféré !;Un baba au rhum ! Mon gâteau préféré !
